,pipeline,accuracy
64,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0379477451519,
                                                learning_rate=0.6510159928187,
                                                max_iter=512, max_leaf_nodes=15,
                                                min_samples_leaf=1,
                                                n_iter_no_change=17,
                                                validation_fraction=None,
                                                warm_start=True))])",0.9993
120,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=1.54792e-08,
                                                learning_rate=0.5498383405854,
                                                max_iter=512,
                                                max_leaf_nodes=1407,
                                                n_iter_no_change=5,
                                                validation_fraction=0.0447827409709,
                                                warm_start=True))])",0.9987
40,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=1.01849e-08,
                                                learning_rate=0.4326100887326,
                                                max_iter=512, max_leaf_nodes=16,
                                                min_samples_leaf=5,
                                                n_iter_no_change=12,
                                                validation_fraction=None,
                                                warm_start=True))])",0.998
130,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=5.5301209e-06,
                                                learning_rate=0.5425989674491,
                                                max_iter=512, max_leaf_nodes=17,
                                                min_samples_leaf=5,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.998
127,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=4.20858213e-05,
                                                learning_rate=0.4239610379037,
                                                max_iter=512, max_leaf_nodes=19,
                                                min_samples_leaf=16,
                                                validation_fraction=None,
                                                warm_start=True))])",0.998
122,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=8.7698e-09,
                                                learning_rate=0.7577634908998,
                                                max_iter=512,
                                                max_leaf_nodes=1028,
                                                min_samples_leaf=9,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.998
22,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner', HistGradientBoostingClassifier())])",0.9974
35,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=0.2511926755089,
                                                learning_rate=0.0719489946126,
                                                max_iter=512,
                                                max_leaf_nodes=944,
                                                min_samples_leaf=39,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.9974
62,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=0.1458055321823,
                                                learning_rate=0.1720387072154,
                                                max_iter=512, max_leaf_nodes=19,
                                                min_samples_leaf=16,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.9974
99,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=2.9315e-09,
                                                learning_rate=0.1310063225163,
                                                max_iter=512, max_leaf_nodes=15,
                                                min_samples_leaf=9,
                                                n_iter_no_change=9,
                                                validation_fraction=0.3454284255921,
                                                warm_start=True))])",0.9974
