,pipeline,accuracy
20,"Pipeline(steps=[('data-pre-processor', RobustScaler()),
                ('learner', SVC(kernel='linear'))])",0.9825
18,"Pipeline(steps=[('data-pre-processor', PowerTransformer()),
                ('learner', SVC(kernel='linear'))])",0.9819
22,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner', SVC(kernel='linear'))])",0.9812
21,"Pipeline(steps=[('data-pre-processor', StandardScaler()),
                ('learner', SVC(kernel='linear'))])",0.9812
9,"Pipeline(steps=[('learner', SVC(kernel='linear'))])",0.9812
7,"Pipeline(steps=[('learner', LinearDiscriminantAnalysis())])",0.9788
19,"Pipeline(steps=[('data-pre-processor', QuantileTransformer()),
                ('learner', SVC(kernel='linear'))])",0.9788
13,"Pipeline(steps=[('learner', LogisticRegression())])",0.9781
17,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('learner', SVC(kernel='linear'))])",0.9775
10,"Pipeline(steps=[('learner', SVC())])",0.9775
16,"Pipeline(steps=[('data-pre-processor', MinMaxScaler()),
                ('learner', SVC(kernel='linear'))])",0.9769
34,"Pipeline(steps=[('data-pre-processor',
                 RobustScaler(copy=False,
                              quantile_range=(0.2392413594823,
                                              0.8503420885011))),
                ('learner',
                 SVC(C=26.079782089169, coef0=-0.423927281589,
                     gamma=3.16809741e-05, kernel='sigmoid',
                     tol=0.0002247057382))])",0.9762
2,"Pipeline(steps=[('learner', HistGradientBoostingClassifier())])",0.9744
11,"Pipeline(steps=[('learner', SVC(kernel='poly'))])",0.9712
23,"Pipeline(steps=[('data-pre-processor', RobustScaler()),
                ('feature-pre-processor', FastICA()),
                ('learner', SVC(kernel='linear'))])",0.9706
0,"Pipeline(steps=[('learner', ExtraTreesClassifier())])",0.9694
6,"Pipeline(steps=[('learner', KNeighborsClassifier())])",0.9681
1,"Pipeline(steps=[('learner', RandomForestClassifier())])",0.9644
30,"Pipeline(steps=[('data-pre-processor', RobustScaler()),
                ('feature-pre-processor', SelectPercentile()),
                ('learner', SVC(kernel='linear'))])",0.9488
12,"Pipeline(steps=[('learner', SVC(kernel='sigmoid'))])",0.9394
73,"Pipeline(steps=[('data-pre-processor',
                 RobustScaler(copy=False,
                              quantile_range=(0.1162131932693,
                                              0.9100572729924))),
                ('learner',
                 SVC(C=0.2894880765401, coef0=-0.5657272454099,
                     gamma=0.0001600986654, kernel='sigmoid', shrinking=False,
                     tol=0.0606171838421))])",0.9331
5,"Pipeline(steps=[('learner', GaussianNB())])",0.9319
104,"Pipeline(steps=[('data-pre-processor',
                 RobustScaler(copy=False,
                              quantile_range=(0.185541293604,
                                              0.8242376795657))),
                ('learner',
                 SVC(C=0.2812705637448, coef0=-0.2452570410824,
                     gamma=5.88179378e-05, kernel='sigmoid',
                     tol=0.002829061747))])",0.9219
123,"Pipeline(steps=[('data-pre-processor',
                 RobustScaler(copy=False,
                              quantile_range=(0.0856625832454,
                                              0.8393856023201))),
                ('learner',
                 SVC(C=3123.6809293293263, coef0=0.2180567925803,
                     gamma=5.73602752e-05, kernel='sigmoid', shrinking=False,
                     tol=3.88878279e-05))])",0.9156
81,"Pipeline(steps=[('data-pre-processor',
                 RobustScaler(copy=False,
                              quantile_range=(0.1210396609607,
                                              0.9349523581109))),
                ('learner',
                 SVC(C=0.2421761358257, coef0=-0.9957281105033,
                     gamma=9.32763363e-05, kernel='sigmoid',
                     tol=0.042617489071))])",0.8981
4,"Pipeline(steps=[('learner', DecisionTreeClassifier())])",0.8956
3,"Pipeline(steps=[('learner', BernoulliNB())])",0.8925
54,"Pipeline(steps=[('data-pre-processor',
                 RobustScaler(copy=False,
                              quantile_range=(0.057100312967,
                                              0.7181348718475))),
                ('learner',
                 SVC(C=424.1348767787551, coef0=-0.0699745767294,
                     gamma=3.17597261e-05, kernel='sigmoid',
                     tol=0.0185526999097))])",0.8381
75,"Pipeline(steps=[('data-pre-processor',
                 RobustScaler(copy=False,
                              quantile_range=(0.0148424714558,
                                              0.976094089324))),
                ('learner',
                 SVC(C=2361.5171894256223, coef0=0.1308511045668,
                     gamma=0.0001628460121, kernel='sigmoid', shrinking=False,
                     tol=0.0057539908058))])",0.8144
53,"Pipeline(steps=[('data-pre-processor',
                 RobustScaler(copy=False,
                              quantile_range=(0.0805943017762,
                                              0.8351180475633))),
                ('learner',
                 SVC(C=0.1857609451958, coef0=-0.9227113363151,
                     gamma=5.06124185e-05, kernel='sigmoid',
                     tol=0.0020572637403))])",0.7919
64,"Pipeline(steps=[('data-pre-processor',
                 RobustScaler(copy=False,
                              quantile_range=(0.2192228988872,
                                              0.7714064299878))),
                ('learner',
                 SVC(C=0.1590465742855, coef0=-0.7320376332659,
                     gamma=0.0001986516255, kernel='sigmoid',
                     tol=0.0164160776247))])",0.79
115,"Pipeline(steps=[('data-pre-processor',
                 RobustScaler(copy=False,
                              quantile_range=(0.158106330946,
                                              0.8939661009993))),
                ('learner',
                 SVC(C=0.0390943275308, coef0=-0.1415139077691,
                     gamma=0.0001976263807, kernel='sigmoid',
                     tol=0.0066807064307))])",0.7375
