,pipeline,accuracy
16,"Pipeline(steps=[('data-pre-processor', MinMaxScaler()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8338
8,"Pipeline(steps=[('learner', QuadraticDiscriminantAnalysis())])",0.8338
23,"Pipeline(steps=[('feature-pre-processor', FastICA()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8338
28,"Pipeline(steps=[('feature-pre-processor', PCA()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8338
21,"Pipeline(steps=[('data-pre-processor', StandardScaler()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8338
22,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8338
20,"Pipeline(steps=[('data-pre-processor', RobustScaler()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8338
17,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8265
18,"Pipeline(steps=[('data-pre-processor', PowerTransformer()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8044
9,"Pipeline(steps=[('learner', SVC(kernel='linear'))])",0.8015
19,"Pipeline(steps=[('data-pre-processor', QuantileTransformer()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.7838
13,"Pipeline(steps=[('learner', LogisticRegression())])",0.7721
2,"Pipeline(steps=[('learner', HistGradientBoostingClassifier())])",0.7691
7,"Pipeline(steps=[('learner', LinearDiscriminantAnalysis())])",0.7618
10,"Pipeline(steps=[('learner', SVC())])",0.7588
1,"Pipeline(steps=[('learner', RandomForestClassifier())])",0.7397
0,"Pipeline(steps=[('learner', ExtraTreesClassifier())])",0.7368
86,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9853726559525, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1294513132191))])",0.7324
77,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9864782307702, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.0399874000825))])",0.7294
4,"Pipeline(steps=[('learner', DecisionTreeClassifier())])",0.7132
110,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9833991850545, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.4893167010426))])",0.7074
117,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9784977511457, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.4204041710318))])",0.7
51,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.9864882227182)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.5545076317049))])",0.6912
11,"Pipeline(steps=[('learner', SVC(kernel='poly'))])",0.6882
6,"Pipeline(steps=[('learner', KNeighborsClassifier())])",0.6882
120,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9519989284363, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.3874693724177))])",0.6824
113,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9638179645289, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.2771072083568))])",0.6824
54,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9779370486997, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.7994506410047))])",0.6779
33,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.9840714243685)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.6247430380443))])",0.6662
90,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9538937295281, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.670563108832))])",0.6632
83,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.9882141216862)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.6988749693256))])",0.6368
80,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.952662022054)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.6050766400951))])",0.6309
108,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9303474684987, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.4869534893789))])",0.6221
79,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.9966300757178)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.8149516727708))])",0.5985
29,"Pipeline(steps=[('feature-pre-processor', PolynomialFeatures()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.5529
114,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.9142993382696)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.0202892585485))])",0.5441
12,"Pipeline(steps=[('learner', SVC(kernel='sigmoid'))])",0.5176
73,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.871698472096, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1097703231617))])",0.5074
82,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9097873861593, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1573676023958))])",0.5059
35,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.8779552968554)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.352349063159))])",0.5059
37,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.8929252852863)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.0916253198717))])",0.5044
50,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8920259766, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.5673965888591))])",0.5015
