,pipeline,accuracy
99,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=1.8180369e-06,
                                                learning_rate=0.0438842837672,
                                                max_iter=512,
                                                max_leaf_nodes=336,
                                                min_samples_leaf=65,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.672
120,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=4.5228e-09,
                                                learning_rate=0.0137465182437,
                                                max_iter=512,
                                                max_leaf_nodes=645,
                                                min_samples_leaf=10,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.672
33,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=0.0022501837691,
                                                learning_rate=0.0845831344802,
                                                max_iter=512, max_leaf_nodes=58,
                                                min_samples_leaf=71,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.671
102,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=1.42169955e-05,
                                                learning_rate=0.0291766683839,
                                                max_iter=512,
                                                max_leaf_nodes=257,
                                                min_samples_leaf=2,
                                                n_iter_no_change=2,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6709
95,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=1.8823e-09,
                                                learning_rate=0.0135163610164,
                                                max_iter=512,
                                                max_leaf_nodes=1905,
                                                min_samples_leaf=177,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6704
72,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=2.0288982e-06,
                                                learning_rate=0.06624995914,
                                                max_iter=512, max_leaf_nodes=57,
                                                min_samples_leaf=1,
                                                n_iter_no_change=3,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6694
46,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=0.2952976840464,
                                                learning_rate=0.0850034400717,
                                                max_iter=512, max_leaf_nodes=61,
                                                min_samples_leaf=21,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6693
112,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=3.087147e-06,
                                                learning_rate=0.1115879874654,
                                                max_iter=512, max_leaf_nodes=58,
                                                min_samples_leaf=1,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6693
64,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0001328163367,
                                                learning_rate=0.0115687019651,
                                                max_iter=512,
                                                max_leaf_nodes=328,
                                                min_samples_leaf=151,
                                                n_iter_no_change=11,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6692
129,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=2.9424397e-06,
                                                learning_rate=0.0111912572753,
                                                max_iter=512,
                                                max_leaf_nodes=262,
                                                min_samples_leaf=8,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6686
116,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=2.216339e-07,
                                                learning_rate=0.0141795462454,
                                                max_iter=512,
                                                max_leaf_nodes=193,
                                                min_samples_leaf=8,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6683
106,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=3.495e-10,
                                                learning_rate=0.1896086286661,
                                                max_iter=512,
                                                max_leaf_nodes=110,
                                                min_samples_leaf=65,
                                                n_iter_no_change=5,
                                                validation_fraction=0.0392529912018,
                                                warm_start=True))])",0.6679
35,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=1.7988e-09,
                                                learning_rate=0.0270255208909,
                                                max_iter=512,
                                                max_leaf_nodes=101,
                                                min_samples_leaf=14,
                                                n_iter_no_change=11,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6678
118,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=4.782e-10,
                                                learning_rate=0.0113248319022,
                                                max_iter=512,
                                                max_leaf_nodes=1975,
                                                min_samples_leaf=191,
                                                n_iter_no_change=7,
                                                validation_fraction=0.2404074621316,
                                                warm_start=True))])",0.6677
109,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=6.71214e-08,
                                                learning_rate=0.1755734843999,
                                                max_iter=512, max_leaf_nodes=79,
                                                min_samples_leaf=81,
                                                n_iter_no_change=7,
                                                validation_fraction=0.2810593880037,
                                                warm_start=True))])",0.6675
92,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=8.45881905e-05,
                                                learning_rate=0.1424872940921,
                                                max_iter=512, max_leaf_nodes=37,
                                                min_samples_leaf=13,
                                                n_iter_no_change=17,
                                                validation_fraction=0.1490039691824,
                                                warm_start=True))])",0.6673
123,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0009159453306,
                                                learning_rate=0.0191312654553,
                                                max_iter=512,
                                                max_leaf_nodes=1170,
                                                min_samples_leaf=14,
                                                n_iter_no_change=20,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6671
108,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0016453931892,
                                                learning_rate=0.1033998991917,
                                                max_iter=512,
                                                max_leaf_nodes=566,
                                                min_samples_leaf=22,
                                                n_iter_no_change=17,
                                                validation_fraction=0.3140818899266,
                                                warm_start=True))])",0.6669
44,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=0.0038105481534,
                                                learning_rate=0.0984591711795,
                                                max_iter=512,
                                                max_leaf_nodes=258,
                                                min_samples_leaf=23,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6669
94,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=2.768362e-07,
                                                learning_rate=0.1448618008194,
                                                max_iter=512,
                                                max_leaf_nodes=386,
                                                min_samples_leaf=198,
                                                n_iter_no_change=16,
                                                validation_fraction=0.2890707356995,
                                                warm_start=True))])",0.6667
110,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=3.898e-10,
                                                learning_rate=0.0783294246347,
                                                max_iter=512, max_leaf_nodes=34,
                                                min_samples_leaf=80,
                                                n_iter_no_change=5,
                                                validation_fraction=0.1931543720837,
                                                warm_start=True))])",0.6666
91,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=1.492973e-06,
                                                learning_rate=0.2948569535567,
                                                max_iter=512, max_leaf_nodes=12,
                                                min_samples_leaf=38,
                                                n_iter_no_change=5,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6665
89,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=5.60497e-08,
                                                learning_rate=0.3613590694414,
                                                max_iter=512, max_leaf_nodes=15,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6665
54,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=4.387e-10,
                                                learning_rate=0.0279495884503,
                                                max_iter=512,
                                                max_leaf_nodes=907,
                                                min_samples_leaf=1,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6664
53,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=4.1821489e-06,
                                                learning_rate=0.0271605503116,
                                                max_iter=512, max_leaf_nodes=80,
                                                min_samples_leaf=1,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6663
79,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=0.0003789196527,
                                                learning_rate=0.0295955648114,
                                                max_iter=512, max_leaf_nodes=68,
                                                min_samples_leaf=3,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6663
101,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0002042570915,
                                                learning_rate=0.2469548672188,
                                                max_iter=512, max_leaf_nodes=44,
                                                min_samples_leaf=16,
                                                n_iter_no_change=13,
                                                validation_fraction=0.0345128689572,
                                                warm_start=True))])",0.6659
83,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0546337551481,
                                                learning_rate=0.0135812503827,
                                                max_iter=512,
                                                max_leaf_nodes=139,
                                                min_samples_leaf=36,
                                                n_iter_no_change=2,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6658
55,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=0.0009283322121,
                                                learning_rate=0.0515512443298,
                                                max_iter=512, max_leaf_nodes=36,
                                                min_samples_leaf=10,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6656
78,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=0.0059852027647,
                                                learning_rate=0.0330040450154,
                                                max_iter=512,
                                                max_leaf_nodes=750,
                                                min_samples_leaf=2,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6655
104,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=2.6550538e-06,
                                                learning_rate=0.0107000781141,
                                                max_iter=512,
                                                max_leaf_nodes=143,
                                                min_samples_leaf=5,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6649
126,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.003240992116,
                                                learning_rate=0.0284083455694,
                                                max_iter=512, max_leaf_nodes=56,
                                                min_samples_leaf=4,
                                                n_iter_no_change=4,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6648
130,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=0.3699290602897,
                                                learning_rate=0.1155102224018,
                                                max_iter=512, max_leaf_nodes=16,
                                                min_samples_leaf=9,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6647
107,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=9.896349e-07,
                                                learning_rate=0.0270278705854,
                                                max_iter=512, max_leaf_nodes=63,
                                                min_samples_leaf=1,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6646
119,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=4.38e-10,
                                                learning_rate=0.1805478907111,
                                                max_iter=512, max_leaf_nodes=11,
                                                min_samples_leaf=3,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6646
88,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=3.8144755e-06,
                                                learning_rate=0.0789713641079,
                                                max_iter=512,
                                                max_leaf_nodes=402,
                                                min_samples_leaf=9,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6645
63,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0219529938265,
                                                learning_rate=0.0111806864634,
                                                max_iter=512,
                                                max_leaf_nodes=600,
                                                min_samples_leaf=1,
                                                n_iter_no_change=17,
                                                validation_fraction=0.3891878351031,
                                                warm_start=True))])",0.6644
49,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=3.2517737e-06,
                                                learning_rate=0.0124534107491,
                                                max_iter=512,
                                                max_leaf_nodes=154,
                                                min_samples_leaf=1,
                                                n_iter_no_change=8,
                                                validation_fraction=0.3738711149342,
                                                warm_start=True))])",0.6641
34,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=2.223104e-07,
                                                learning_rate=0.0101508303821,
                                                max_iter=512,
                                                max_leaf_nodes=1295,
                                                min_samples_leaf=128,
                                                n_iter_no_change=15,
                                                validation_fraction=0.3510659226955,
                                                warm_start=True))])",0.6641
85,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=0.0004131045272,
                                                learning_rate=0.0466957899025,
                                                max_iter=512, max_leaf_nodes=30,
                                                min_samples_leaf=70,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.6639
