,pipeline,accuracy
38,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0075577610553,
                                                learning_rate=0.0389529149594,
                                                max_iter=512, max_leaf_nodes=12,
                                                min_samples_leaf=2,
                                                n_iter_no_change=6,
                                                validation_fraction=None,
                                                warm_start=True))])",0.8763
123,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0005830912746,
                                                learning_rate=0.0573159535165,
                                                max_iter=512, max_leaf_nodes=9,
                                                min_samples_leaf=42,
                                                validation_fraction=None,
                                                warm_start=True))])",0.8763
59,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=5.4057648e-06,
                                                learning_rate=0.226190461118,
                                                max_iter=512, max_leaf_nodes=3,
                                                min_samples_leaf=1,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.8761
22,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner', HistGradientBoostingClassifier())])",0.876
92,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=0.0133360021093,
                                                learning_rate=0.0318960377393,
                                                max_iter=512, max_leaf_nodes=11,
                                                min_samples_leaf=45,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.8755
115,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=2.082e-10,
                                                learning_rate=0.0428618058161,
                                                max_iter=512, max_leaf_nodes=32,
                                                min_samples_leaf=28,
                                                n_iter_no_change=9,
                                                validation_fraction=None,
                                                warm_start=True))])",0.8754
107,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0023648095201,
                                                learning_rate=0.0252841379852,
                                                max_iter=512, max_leaf_nodes=41,
                                                min_samples_leaf=2,
                                                n_iter_no_change=2,
                                                validation_fraction=None,
                                                warm_start=True))])",0.8749
89,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0054859118205,
                                                learning_rate=0.0158244325662,
                                                max_iter=512, max_leaf_nodes=16,
                                                min_samples_leaf=79,
                                                n_iter_no_change=14,
                                                validation_fraction=None,
                                                warm_start=True))])",0.8747
131,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=3.4044962e-06,
                                                learning_rate=0.0198538091619,
                                                max_iter=512, max_leaf_nodes=24,
                                                min_samples_leaf=57,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.8746
114,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=False,
                                                l2_regularization=0.0628914414848,
                                                learning_rate=0.0328081410643,
                                                max_iter=512, max_leaf_nodes=45,
                                                min_samples_leaf=1,
                                                n_iter_no_change=1,
                                                validation_fraction=None,
                                                warm_start=True))])",0.8743
90,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=3.35362e-08,
                                                learning_rate=0.0174278114727,
                                                max_iter=512, max_leaf_nodes=64,
                                                min_samples_leaf=28,
                                                n_iter_no_change=6,
                                                validation_fraction=None,
                                                warm_start=True))])",0.8743
40,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=3.7889923e-06,
                                                learning_rate=0.0105435441241,
                                                max_iter=512, max_leaf_nodes=42,
                                                min_samples_leaf=6,
                                                n_iter_no_change=20,
                                                validation_fraction=0.1082993396427,
                                                warm_start=True))])",0.8743
