id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,forecast_gain,fcst_greater_than_baseline,last_train_acc,last_train_loss,last_val_acc,last_val_loss,slope_val_acc,var_val_acc,gap_val_acc
0,512,"[134, 268]",1,[0.09933283914010378],"[498, 497, 473, 427, 404, 301, 264, 251, 247, 210, 186, 158, 135, 23, 135, 158, 186, 210, 247, 251, 264, 301, 404, 427, 473, 497, 498]",hourglass,26,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4,<class 'torch.optim.sgd.SGD'>,0.0007006700163436125,0.0,0.95,512,True,kaiming_uniform,step,"{'step_size': 5, 'gamma': 0.9}",0,[183.28109741210938],[0.6791044776119403],[0.8083871603012085],[0.17751479289940827],[],[],0.0,0.0,0.0,False,0.6791044776119403,183.28109741210938,0.17751479289940827,0.8083871603012085,,,
1,128,"[134, 268]",1,[0.09933283914010378],"[401, 327, 106, 84, 59, 84, 106, 327, 401]",hourglass,8,<class 'torch.nn.modules.activation.ELU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.00022804422768927732,0.001,0.8,128,True,xavier_uniform,exponential,{'gamma': 0.9},14125,[0.6476320482012051],[0.8283582089552238],[0.6535662451439356],[0.8076923076923077],[],[],0.0,0.0,0.0,False,0.8283582089552238,0.6476320482012051,0.8076923076923077,0.6535662451439356,,,
4,64,"[134, 268]",1,[0.09933283914010378],"[493, 415, 350, 337, 336, 310, 213, 150, 133, 113, 52, 44, 32]",pyramid,13,<class 'torch.nn.modules.activation.Tanh'>,0.5,<class 'torch.optim.sgd.SGD'>,0.002942826324564349,0.01,0.9,64,False,kaiming_normal,exponential,{'gamma': 0.9},56500,[0.7266927041224579],[0.5522388059701493],[0.6824341680876602],[0.5443786982248521],[],[],0.0,0.0,0.0,False,0.5522388059701493,0.7266927041224579,0.5443786982248521,0.6824341680876602,,,
9,512,"[134, 268]",1,[0.09933283914010378],"[434, 397, 389, 388, 369, 357, 345, 311, 285, 282, 250, 198, 168, 167, 144, 142, 140, 136, 133, 124, 119, 113, 80, 45, 3]",pyramid,25,<class 'torch.nn.modules.activation.GELU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.0007443695643739327,0.001,,512,True,xavier_normal,none,{},127125,[1.078566551208496],[0.15671641791044777],[0.9941830635070801],[0.17751479289940827],[],[],0.0,0.0,0.0,False,0.15671641791044777,1.078566551208496,0.17751479289940827,0.9941830635070801,,,
10,32,"[134, 268]",1,[0.09933283914010378],"[20, 44, 130, 152, 161, 168, 193, 201, 206, 226, 250, 264, 267, 269, 276, 292, 294, 295, 296, 298, 314, 322, 339, 345, 346, 346, 347, 380, 404, 407, 430, 463, 480]",inv_pyramid,33,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.rmsprop.RMSprop'>,0.00023683339213158132,0.0001,,32,True,kaiming_uniform,step,"{'step_size': 30, 'gamma': 0.5}",141250,[14.6815535061395],[0.7089552238805971],[0.5940342485552004],[0.8195266272189349],[],[],0.0,0.0,0.0,False,0.7089552238805971,14.6815535061395,0.8195266272189349,0.5940342485552004,,,
12,64,"[134, 268]",1,[0.09933283914010378],"[499, 456, 282, 456, 499]",hourglass,4,<class 'torch.nn.modules.activation.Tanh'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.005955798391780947,0.0001,,64,True,kaiming_uniform,cosine,{'T_max': 50},169500,[1.8507606449411875],[0.4626865671641791],[11.190857272176348],[0.7899408284023669],[],[],0.0,0.0,0.0,False,0.4626865671641791,1.8507606449411875,0.7899408284023669,11.190857272176348,,,
15,128,"[134, 268]",1,[0.09933283914010378],"[485, 435, 430, 395, 388, 387, 374, 359, 242, 209, 182, 123, 102, 95, 90, 59, 90, 95, 102, 123, 182, 209, 242, 359, 374, 387, 388, 395, 430, 435, 485]",hourglass,30,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.02343866841048828,0.0,0.95,128,True,kaiming_normal,cosine,{'T_max': 10},211875,[17.950273200647153],[0.7611940298507462],[17660233290867.125],[0.17751479289940827],[],[],0.0,0.0,0.0,False,0.7611940298507462,17.950273200647153,0.17751479289940827,17660233290867.125,,,
18,128,"[134, 268]",1,[0.09933283914010378],"[46, 55, 73, 83, 88, 91, 92, 100, 127, 129, 134, 135, 163, 197, 220, 254, 268, 298, 370, 371, 407, 426, 430, 433, 498, 500]",inv_pyramid,26,<class 'torch.nn.modules.activation.Tanh'>,0.3,<class 'torch.optim.rmsprop.RMSprop'>,0.00017090367962379087,1e-05,,128,True,kaiming_normal,cosine,{'T_max': 100},254250,[0.7498080730438232],[0.5671641791044776],[0.5588516525968292],[0.7899408284023669],[],[],0.0,0.0,0.0,False,0.5671641791044776,0.7498080730438232,0.7899408284023669,0.5588516525968292,,,
19,1024,"[134, 268]",1,[0.09933283914010378],"[250, 64, 203, 234, 222, 251, 298, 484, 36, 178, 342, 125, 18, 356, 338, 270, 247, 500, 314, 441, 66, 22, 283, 129, 256, 191, 430, 302, 57, 307, 292, 235, 69, 411, 145, 136, 90, 69, 263, 15, 76, 137, 262, 114, 228, 135]",irregular,46,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4,<class 'torch.optim.sgd.SGD'>,0.0001338401279754921,0.0001,0.9,1024,False,xavier_uniform,exponential,{'gamma': 0.9},268375,[0.7258589267730713],[0.2537313432835821],[0.7093502283096313],[0.17751479289940827],[],[],0.0,0.0,0.0,False,0.2537313432835821,0.7258589267730713,0.17751479289940827,0.7093502283096313,,,
20,64,"[134, 268]",1,[0.09933283914010378],"[10, 19, 61, 81, 89, 101, 107, 113, 119, 158, 176, 184, 217, 221, 229, 243, 280, 296, 309, 323, 335, 359, 390, 404, 496]",triangular,25,<class 'torch.nn.modules.activation.ReLU'>,0.4,<class 'torch.optim.adam.Adam'>,0.0016971976654874522,0.0001,,64,False,xavier_uniform,none,{},282500,[0.628700711833897],[0.8432835820895522],[0.5030914883641802],[0.8224852071005917],[],[],0.0,0.0,0.0,False,0.8432835820895522,0.628700711833897,0.8224852071005917,0.5030914883641802,,,
